timestamp,src_ip,dst_ip,protocol,icmp_type,icmp_code,packet_size,packets_per_second,bytes_per_second,is_attack
2025-05-17 17:33:13.527081,45.207.52.86,10.0.0.1,ICMP,8,0,2163,100.0,216300.0,1
2025-05-17 17:52:20.362897,192.168.99.129,10.0.0.5,ICMP,0,0,581,3.489400546127669,2027.3417173001758,0
2025-05-17 17:27:13.337081,45.148.82.50,10.0.0.1,ICMP,8,0,1782,100.0,178200.0,1
2025-05-17 17:30:13.657081,45.189.104.32,10.0.0.1,ICMP,8,0,323,100.0,32300.0,1
2025-05-17 17:32:24.478366,192.168.141.190,10.0.0.2,ICMP,0,0,106,2.289183578314074,242.65345930129183,0
2025-05-17 17:28:13.647081,45.207.52.86,10.0.0.1,ICMP,8,0,2490,100.0,249000.0,1
2025-05-17 18:11:12.448673,192.168.22.195,10.0.0.8,ICMP,0,0,632,0.4456246242054872,281.63476249786794,0
2025-05-17 17:39:43.970720,192.168.78.41,10.0.0.2,ICMP,0,0,414,4.550466917917624,1883.8933040178963,0
2025-05-17 17:29:13.277081,45.20.96.38,10.0.0.1,ICMP,8,0,1837,100.0,183700.0,1
2025-05-17 17:31:11.921941,192.168.60.150,10.0.0.8,ICMP,0,0,404,4.431968951919905,1790.5154565756416,0
2025-05-17 17:33:23.809205,192.168.49.227,10.0.0.2,ICMP,0,0,724,0.5690013220487925,411.9569571633258,0
2025-05-17 18:00:32.805131,192.168.98.89,10.0.0.3,ICMP,0,0,649,3.479916361315794,2258.46571849395,0
2025-05-17 17:49:56.478032,192.168.219.118,10.0.0.1,ICMP,8,0,178,1.1193203573929196,199.2390236159397,0
2025-05-17 17:32:13.507081,45.148.82.50,10.0.0.1,ICMP,8,0,1911,100.0,191100.0,1
2025-05-17 17:30:13.237081,45.189.104.32,10.0.0.1,ICMP,8,0,1996,100.0,199600.0,1
2025-05-17 17:34:49.861245,192.168.253.86,10.0.0.5,ICMP,0,0,449,0.7556383077694947,339.28160018850315,0
2025-05-17 18:14:28.892277,192.168.228.123,10.0.0.9,ICMP,8,0,1249,3.333834761229359,4163.95961677547,0
2025-05-17 17:33:18.809791,192.168.185.177,10.0.0.7,ICMP,0,0,691,2.1836181086447004,1508.880113073488,0
2025-05-17 17:31:13.727081,45.154.58.167,10.0.0.1,ICMP,8,0,1771,100.0,177100.0,1
2025-05-17 17:25:38.166432,192.168.143.163,10.0.0.7,ICMP,8,0,713,1.3587308534640028,968.775098519834,0
2025-05-17 17:29:01.133293,192.168.136.77,10.0.0.5,ICMP,8,0,778,4.638345633431671,3608.63290280984,0
2025-05-17 17:53:20.309152,192.168.245.214,10.0.0.7,ICMP,0,0,855,3.0562952716585325,2613.1324572680455,0
